id,name,artist,popularity,explicit,energy,tempo,positiveness,danceability,acousticness,instrumentalness,loudness,mode,speechiness,duration_ms,key,album_name,year
1XpYodsD36XN7ygcdF7mJJ,The A Team,Ed Sheeran,69,False,0.289,84.996,0.407,0.642,0.669,0,-9.918,1,0.0367,258373,9,+,2019
4RnCPWlBsY7oUDdyruod7Y,Drunk,Ed Sheeran,65,False,0.652,99.998,0.459,0.733,0.419,2.37e-06,-9.101,1,0.0696,200093,7,+,2019
5Ukzlujip1Slqka5OY82YS,U.N.I.,Ed Sheeran,55,False,0.405,74.13,0.578,0.422,0.323,0,-11.126,1,0.101,228600,6,+,2019
0obzwoGjXdORtAwYWZ9s53,Grade 8,Ed Sheeran,52,False,0.807,101.042,0.781,0.74,0.0446,4.02e-05,-9.976,0,0.0363,179880,0,+,2019
0ygAYQQy7bfDN6gH640bbl,Wake Me Up,Ed Sheeran,54,False,0.209,86.891,0.336,0.616,0.902,0,-13.43,1,0.406,229613,9,+,2019
4z1O25cq9g2kuJemmUxc21,Small Bump,Ed Sheeran,63,False,0.436,119.973,0.446,0.81,0.689,0.000151,-12.683,1,0.0717,259413,10,+,2019
0pJfsPQesJyCnR5XWZyvj9,This,Ed Sheeran,53,False,0.0929,152.139,0.502,0.588,0.95,0.00539,-14.301,1,0.0443,195840,11,+,2019
4ucfQOYOe1Jz5KqCfpGobp,The City,Ed Sheeran,50,False,0.505,97.994,0.646,0.74,0.0415,6.82e-05,-10.338,0,0.0674,234333,4,+,2019
5ubHAQtKuFfiG4FXfLP804,Lego House,Ed Sheeran,75,False,0.637,159.701,0.565,0.592,0.562,0,-8.48,1,0.0992,185093,11,+,2019
5KL4iZkCTZyXl7KnHgfVDj,"You Need Me, I Don't Need You",Ed Sheeran,64,True,0.837,103.483,0.927,0.749,0.162,0,-8.837,1,0.0512,220413,7,+,2019
0Tel1fmuCxEFV6wBLXsEdk,Kiss Me,Ed Sheeran,70,False,0.227,74.993,0.182,0.589,0.64,0.00469,-16.67,1,0.0498,280853,2,+,2019
0SuG9kyzGRpDqrCWtgD6Lq,Give Me Love,Ed Sheeran,72,False,0.328,116.068,0.11,0.526,0.694,0,-9.864,1,0.0461,526387,1,+,2019
7iBSkXB0pTvZasOLf0Qxk9,Autumn Leaves - Deluxe Edition,Ed Sheeran,58,False,0.257,89.013,0.431,0.555,0.892,1.42e-06,-12.637,1,0.0299,200756,10,+,2019
4bcgRbGeq4IejesjsiHyTH,Little Bird - Deluxe Edition,Ed Sheeran,52,False,0.425,104.02,0.284,0.843,0.565,0,-8.676,1,0.0352,224529,8,+,2019
4mT5mVFaU7trA3UdbGqfB9,Gold Rush - Deluxe Edition,Ed Sheeran,51,False,0.248,83.786,0.889,0.74,0.729,0,-12.659,1,0.109,243163,4,+,2019
3YPiRYIUFlcQ0aaLGmeswS,Sunburn - Deluxe Edition,Ed Sheeran,49,False,0.098,78.864,0.234,0.464,0.865,0,-12.119,1,0.0376,275882,10,+,2019
2JiHR4gCDjXwYVRDmwdk95,Tides,Ed Sheeran,64,False,0.825,129.942,0.427,0.631,0.0167,0,-3.971,1,0.0433,195760,11,=,2019
50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,87,False,0.859,141.02,0.822,0.788,0.281,0,-2.724,1,0.0856,207853,2,=,2019
5QYnNhTKsN3kE7OaqILA1U,First Times,Ed Sheeran,68,False,0.267,98.845,0.352,0.587,0.84,0,-9.206,1,0.0349,185853,8,=,2019
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,86,False,0.893,126.011,0.537,0.807,0.0451,2.79e-05,-3.745,0,0.0347,230747,11,=,2019
4btFHqumCO31GksfuBLLv3,Overpass Graffiti,Ed Sheeran,74,False,0.849,175.908,0.774,0.52,0.00253,0,-3.794,0,0.186,236907,9,=,2019
3NuLxTXowTRcguTh9RsPmM,The Joker And The Queen,Ed Sheeran,59,False,0.211,134.019,0.289,0.567,0.952,5.24e-05,-9.975,1,0.0315,185587,0,=,2019
0YbI9lWxUBsCJLb6EBydkr,Leave Your Life,Ed Sheeran,59,False,0.558,75.087,0.54,0.578,0.236,0,-5.438,1,0.0872,223867,2,=,2019
5sv0WnUs74Orn6GoPmC5im,Collide,Ed Sheeran,62,False,0.73,123.969,0.559,0.672,0.113,0,-4.77,1,0.0372,210213,5,=,2019
2SUxn2O9NHL6GHGQFgwCY0,2step,Ed Sheeran,72,False,0.661,95.002,0.632,0.763,0.169,0,-5.592,0,0.056,153627,4,=,2019
0VuDtcT7H4CAljLZEH021x,Stop The Rain,Ed Sheeran,60,False,0.765,99.998,0.743,0.686,0.0122,0,-4.778,1,0.118,203493,8,=,2019
1i4F583d9v9RabcfOlKKVL,Love In Slow Motion,Ed Sheeran,61,False,0.54,62.631,0.426,0.485,0.668,0,-5.4,1,0.0253,190933,1,=,2019
0rt63HYAAIzUZo5O2D0uA6,Visiting Hours,Ed Sheeran,71,False,0.396,149.609,0.263,0.471,0.77,0,-6.654,1,0.0336,215507,8,=,2019
2Ldb2ytuC9AxhpAkVEJBI6,Sandman,Ed Sheeran,58,False,0.3,125.951,0.734,0.822,0.882,9.15e-05,-8.034,1,0.0673,259333,0,=,2019
3BiiSLo0wyHAY7lpCEO6ge,Be Right Now,Ed Sheeran,57,False,0.684,131.952,0.442,0.501,0.00494,0.000478,-6.706,1,0.0566,211080,11,=,2019
6WgrB8d7GLBGweYLDI6ObR,All Around The World,Justin Bieber,55,False,0.816,127.958,0.775,0.689,0.019,2.42e-06,-3.951,0,0.178,244547,3,Believe,2019
3UGIZ8qcrMTwzLbx6Kttqt,Boyfriend,Justin Bieber,77,False,0.55,96.976,0.332,0.717,0.0358,0.00196,-6.019,0,0.0521,171333,10,Believe,2019
75lo8VozcCLRG9WGG674iD,As Long As You Love Me,Justin Bieber,67,False,0.873,139.691,0.613,0.571,0.0807,0,-3.382,0,0.0997,229467,0,Believe,2019
6zvLqjSWq0AQsgoiqWInwY,Catching Feelings,Justin Bieber,47,False,0.542,85.59,0.357,0.327,0.354,0,-6.665,1,0.0412,234680,10,Believe,2019
4PXOSe2WbmFhmJDiqrDw6W,Take You,Justin Bieber,48,False,0.706,126.04,0.461,0.663,0.00107,0.00248,-6.648,1,0.0348,220893,6,Believe,2019
2Rmuzh89p29BeTIF63Opwo,Right Here,Justin Bieber,58,False,0.57,92.073,0.728,0.639,0.0233,0,-4.966,1,0.042,204187,1,Believe,2019
5dQZbRbOMahlP55xeL0mNW,Fall,Justin Bieber,54,False,0.754,82.995,0.607,0.607,0.259,0,-4.321,1,0.0411,248387,11,Believe,2019
2eHs8Swb16qSKatrLKnWKP,Die In Your Arms,Justin Bieber,52,False,0.878,171.723,0.725,0.568,0.0309,4.26e-06,-5.094,1,0.0933,237293,7,Believe,2019
5xIwgIwX70gP1hJ2QLu63W,Thought Of You,Justin Bieber,49,False,0.705,123.223,0.57,0.697,0.0094,6.61e-06,-5.032,1,0.031,230107,2,Believe,2019
6QFCMUUq1T2Vf5sFUXcuQ7,Beauty And A Beat,Justin Bieber,80,False,0.843,128.002,0.534,0.601,0.000704,5.27e-05,-4.87,1,0.0593,227987,0,Believe,2019
3vpXclZrJxC8Zlj7N7OyfN,One Love,Justin Bieber,50,False,0.612,127.916,0.228,0.688,0.00276,0,-7.558,1,0.0324,234493,11,Believe,2019
4DmJUNY2LJhbl4ClUpa38T,Be Alright,Justin Bieber,53,False,0.356,106.952,0.738,0.803,0.587,0,-9.026,0,0.0326,189653,5,Believe,2019
6ImYcmDP7WamwVBbZeHUTy,Believe,Justin Bieber,50,False,0.854,159.805,0.508,0.519,0.143,0,-5.71,1,0.113,222213,0,Believe,2019
0oaY19dUwZimIgzn3ZZLZO,2 Much,Justin Bieber,69,False,0.444,119.59,0.167,0.583,0.593,0,-8.601,1,0.0456,152796,9,Justice,2019
