name,artist,popularity,explicit,energy,tempo,positiveness,danceability,acousticness,loudness,mode,duration_minutes,key,album_name,year
Old Town Road - Remix,Lil Nas X,79,False,0.619,136.041,0.639,0.878,0.0533,-5.56,Major,2.6,Fsharp/Gflat,7 EP,2019
Panini,Lil Nas X,62,False,0.594,153.848,0.475,0.703,0.342,-6.146,Minor,1.9,F,7 EP,2019
F9mily (You & Me),Lil Nas X,48,False,0.534,170.054,0.408,0.556,0.019,-7.75,Major,2.7,C,7 EP,2019
Kick It,Lil Nas X,53,True,0.484,151.878,0.523,0.739,0.138,-9.646,Major,2.4,A,7 EP,2019
Rodeo,Lil Nas X,67,True,0.679,140.081,0.657,0.706,0.139,-5.614,Major,2.6,A,7 EP,2019
Bring U Down,Lil Nas X,53,False,0.511,120.05,0.482,0.676,0.0759,-6.83,Minor,2.2,A,7 EP,2019
C7osure (You Like),Lil Nas X,58,False,0.742,133.989,0.56,0.847,0.397,-5.515,Minor,2.5,Gsharp/Aflat,7 EP,2019
Old Town Road,Lil Nas X,78,False,0.53,135.998,0.507,0.907,0.0578,-6.112,Major,1.9,Csharp/Dflat,7 EP,2019
bad guy,Billie Eilish,85,False,0.425,135.128,0.562,0.701,0.328,-10.965,Major,3.2,G,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
xanny,Billie Eilish,74,False,0.125,111.554,0.0528,0.521,0.751,-17.832,Major,4.1,A,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
you should see me in a crown,Billie Eilish,79,False,0.533,150.455,0.323,0.678,0.462,-10.485,Major,3.0,E,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
all the good girls go to hell,Billie Eilish,77,False,0.444,185.044,0.569,0.726,0.283,-8.922,Minor,2.8,Gsharp/Aflat,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
wish you were gay,Billie Eilish,77,False,0.351,118.028,0.282,0.853,0.39,-10.198,Major,3.7,G,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
when the party's over,Billie Eilish,85,False,0.111,82.642,0.198,0.367,0.978,-14.084,Major,3.3,E,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
8,Billie Eilish,71,False,0.235,62.446,0.462,0.735,0.698,-13.239,Major,2.9,Dsharp/Eflat,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
my strange addiction,Billie Eilish,75,False,0.305,100.029,0.563,0.939,0.35,-10.952,Minor,3.0,Gsharp/Aflat,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
bury a friend,Billie Eilish,76,False,0.389,120.046,0.196,0.905,0.74,-14.505,Major,3.2,Gsharp/Aflat,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
ilomilo,Billie Eilish,74,False,0.423,120.02,0.572,0.855,0.724,-15.044,Minor,2.6,F,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
listen before i go,Billie Eilish,78,False,0.0561,79.764,0.082,0.319,0.935,-23.023,Major,4.0,C,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
i love you,Billie Eilish,81,False,0.131,137.446,0.12,0.421,0.952,-18.435,Major,4.9,C,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
goodbye,Billie Eilish,71,False,0.138,74.318,0.0503,0.153,0.837,-21.877,Minor,2.0,Fsharp/Gflat,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
Señorita,Shawn Mendes,82,False,0.548,116.967,0.749,0.759,0.0392,-6.049,Minor,3.2,A,Shawn Mendes (Deluxe),2019
Lost In Japan,Shawn Mendes,53,False,0.738,105.049,0.381,0.711,0.264,-6.908,Major,3.3,Asharp/Bflat,Shawn Mendes (Deluxe),2019
If I Can't Have You,Shawn Mendes,75,False,0.823,123.935,0.87,0.691,0.487,-4.197,Major,3.2,D,Shawn Mendes (Deluxe),2019
